activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,auto,18,entropy,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,10,adaptive,81,auto,13,9,randomForestClassifier,2,5,adam,uniform,0.6106032906764168
identity,brute,18,entropy,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,10,adaptive,81,auto,13,9,randomForestClassifier,2,5,adam,uniform,0.6069469835466179
identity,auto,18,entropy,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,10,invscaling,21,sqrt,3,32,randomForestClassifier,10,8,adam,distance,0.603290676416819
relu,auto,19,gini,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,10,invscaling,21,sqrt,3,32,randomForestClassifier,10,8,adam,distance,0.6398537477148081
tanh,brute,23,gini,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,16,adaptive,29,auto,13,21,randomForestClassifier,2,5,lbfgs,uniform,0.6160877513711152
relu,brute,27,gini,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,24,invscaling,1,log2,11,36,randomForestClassifier,4,3,lbfgs,distance,0.6252285191956124
relu,auto,19,gini,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,10,adaptive,29,auto,13,11,randomForestClassifier,2,5,lbfgs,uniform,0.6124314442413162
tanh,brute,23,gini,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,10,adaptive,29,auto,13,9,randomForestClassifier,2,5,lbfgs,uniform,0.603290676416819
tanh,brute,23,gini,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,10,adaptive,29,auto,13,9,randomForestClassifier,2,5,lbfgs,uniform,0.613345521023766
identity,auto,18,entropy,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,10,adaptive,81,auto,13,9,nnClassifier,2,5,adam,uniform,0.09323583180987204
identity,auto,18,entropy,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,10,invscaling,81,auto,3,9,randomForestClassifier,2,5,adam,uniform,0.6078610603290676
identity,brute,18,entropy,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,10,invscaling,21,sqrt,3,32,randomForestClassifier,10,8,adam,distance,0.6087751371115173
identity,auto,18,entropy,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,10,invscaling,21,sqrt,3,32,randomForestClassifier,10,8,adam,distance,0.5886654478976234
